grid_cell,total_complaints,total_nuisance,total_chronic_locations,days_since_last_complaint,complaint_years_active,most_common_dept,avg_resolution_days,nuisance_rate,pct_call_center,complaint_count_30d,nuisance_count_30d,chronic_loc_count_30d,complaint_count_60d,nuisance_count_60d,chronic_loc_count_60d,complaint_count_90d,nuisance_count_90d,chronic_loc_count_90d,total_violations,open_violations,env_violations,chronic_parcels,unique_parcels,violation_years_active,lien_filed_count,avg_lien_status,open_violation_rate,env_violation_rate,chronic_parcel_rate,dist_to_nearest_siren_km,siren_coverage_gap,target_nuisance_binary,target_nuisance_count,target_any_complaint,cell_lat,cell_lon
32.3900_-86.3850,7.0,3.0,3.0,0.0,4.0,15.0,6.4,0.4286,0.7142857142857143,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,4.0,2.0,2.0,1.0,0.75,1.0,0.0,4.0813,1,0.0,0.0,1.0,32.39,-86.385
32.3900_-86.3900,139.0,27.0,114.0,0.0,6.0,0.0,24.852459016393443,0.1942,0.9784172661870504,7.0,0.0,6.0,7.0,0.0,6.0,8.0,0.0,6.0,28.0,0.0,28.0,7.0,18.0,4.0,0.0,0.03571428571428571,0.0,1.0,0.3889,4.0857,1,0.0,0.0,1.0,32.39,-86.39
32.3900_-86.3950,45.0,18.0,26.0,30.0,6.0,15.0,29.325581395348838,0.4,0.9555555555555556,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,23.0,7.0,21.0,4.0,15.0,3.0,2.0,0.21739130434782608,0.3043,0.913,0.2667,4.1436,1,0.0,0.0,1.0,32.39,-86.395
32.3950_-86.1500,43.0,8.0,6.0,0.0,6.0,14.0,56.42857142857143,0.186,0.8372093023255814,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,5.0,5.0,0.0,0.0,0.3333,1.0,0.0,1.8787,0,0.0,0.0,1.0,32.395,-86.15
32.3950_-86.1550,81.0,14.0,29.0,0.0,6.0,14.0,20.866666666666667,0.1728,0.8641975308641975,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,7.0,0.0,7.0,4.0,0.0,0.0,0.2,0.7,0.0,1.6417,0,0.0,0.0,1.0,32.395,-86.155
32.3950_-86.1600,111.0,29.0,52.0,0.0,6.0,14.0,18.252747252747252,0.2613,0.7927927927927928,7.0,0.0,4.0,7.0,0.0,4.0,7.0,0.0,4.0,21.0,5.0,18.0,9.0,10.0,6.0,1.0,0.09523809523809523,0.2381,0.8571,0.9,1.5171,0,0.0,0.0,1.0,32.395,-86.16
32.3950_-86.1650,13.0,3.0,4.0,303.0,6.0,14.0,20.76923076923077,0.2308,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.3333,0.6667,0.0,1.5326,0,0.0,0.0,0.0,32.395,-86.165
32.3950_-86.1750,10.0,6.0,6.0,1340.0,3.0,2.0,3.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0,3.0,2.0,0.0,0.42857142857142855,0.0,1.0,1.3333,1.4834,0,0.0,0.0,0.0,32.395,-86.175
32.3950_-86.1800,22.0,6.0,7.0,668.0,5.0,14.0,6.476190476190476,0.2727,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0695,0,0.0,0.0,0.0,32.395,-86.18
32.3950_-86.1850,1.0,1.0,0.0,1157.0,1.0,15.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266,0,0.0,0.0,0.0,32.395,-86.185
32.3950_-86.1900,160.0,75.0,98.0,30.0,6.0,2.0,15.47019867549669,0.4688,0.8875,2.0,0.0,2.0,2.0,0.0,2.0,6.0,1.0,4.0,89.0,28.0,82.0,48.0,45.0,6.0,0.0,0.011235955056179775,0.3146,0.9213,1.0667,0.594,0,0.0,0.0,1.0,32.395,-86.19
32.3950_-86.1950,456.0,200.0,363.0,0.0,6.0,2.0,15.039351851851851,0.4386,0.8596491228070176,3.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,141.0,33.0,116.0,95.0,51.0,6.0,4.0,0.07801418439716312,0.234,0.8227,1.8627,0.7864,0,1.0,1.0,1.0,32.395,-86.195
32.3950_-86.2000,274.0,131.0,166.0,0.0,6.0,2.0,19.275590551181104,0.4781,0.6897810218978102,8.0,2.0,6.0,8.0,2.0,6.0,11.0,4.0,7.0,124.0,30.0,107.0,73.0,52.0,6.0,1.0,0.0967741935483871,0.2419,0.8629,1.4038,1.151,0,1.0,2.0,1.0,32.395,-86.2
32.3950_-86.2050,194.0,50.0,115.0,0.0,6.0,14.0,16.301136363636363,0.2577,0.8711340206185567,4.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,58.0,6.0,46.0,27.0,29.0,6.0,2.0,0.08620689655172414,0.1034,0.7931,0.931,1.5722,0,1.0,1.0,1.0,32.395,-86.205
32.3950_-86.2100,32.0,2.0,16.0,61.0,6.0,17.0,23.677419354838708,0.0625,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,1.5736,0,0.0,0.0,0.0,32.395,-86.21
32.3950_-86.2150,125.0,67.0,68.0,0.0,6.0,2.0,11.0,0.536,0.896,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,69.0,18.0,63.0,34.0,33.0,5.0,5.0,0.18840579710144928,0.2609,0.913,1.0303,1.4603,0,0.0,0.0,1.0,32.395,-86.215
32.3950_-86.2200,410.0,241.0,326.0,0.0,6.0,2.0,24.79230769230769,0.5878,0.9414634146341463,5.0,3.0,3.0,5.0,3.0,3.0,8.0,5.0,5.0,193.0,25.0,181.0,153.0,50.0,6.0,8.0,0.15544041450777202,0.1295,0.9378,3.06,1.4932,0,1.0,3.0,1.0,32.395,-86.22
32.3950_-86.2250,132.0,60.0,71.0,30.0,6.0,2.0,23.299212598425196,0.4545,0.8636363636363636,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,4.0,70.0,11.0,63.0,55.0,21.0,5.0,1.0,0.11428571428571428,0.1571,0.9,2.619,1.6637,0,0.0,0.0,1.0,32.395,-86.225
32.3950_-86.2300,119.0,46.0,67.0,61.0,6.0,14.0,18.885964912280702,0.3866,0.7563025210084033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,7.0,27.0,19.0,12.0,5.0,0.0,0.03225806451612903,0.2258,0.871,1.5833,1.532,0,0.0,0.0,0.0,32.395,-86.23
32.3950_-86.2350,130.0,51.0,73.0,0.0,6.0,2.0,29.530973451327434,0.3923,0.7538461538461538,7.0,1.0,6.0,7.0,1.0,6.0,9.0,2.0,7.0,55.0,10.0,42.0,48.0,16.0,6.0,0.0,0.01818181818181818,0.1818,0.7636,3.0,1.0982,0,1.0,1.0,1.0,32.395,-86.235
32.3950_-86.2400,214.0,113.0,140.0,0.0,6.0,2.0,33.40331491712707,0.528,0.6588785046728972,15.0,7.0,12.0,15.0,7.0,12.0,22.0,11.0,15.0,68.0,12.0,60.0,33.0,33.0,6.0,1.0,0.029411764705882353,0.1765,0.8824,1.0,0.7114,0,1.0,7.0,1.0,32.395,-86.24
32.3950_-86.2450,369.0,182.0,293.0,0.0,6.0,2.0,24.746478873239436,0.4932,0.5718157181571816,5.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,181.0,19.0,167.0,143.0,53.0,6.0,1.0,0.03867403314917127,0.105,0.9227,2.6981,0.4968,0,1.0,4.0,1.0,32.395,-86.245
32.3950_-86.2500,296.0,156.0,199.0,0.0,6.0,2.0,12.173913043478262,0.527,0.7702702702702703,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,111.0,13.0,99.0,53.0,54.0,6.0,2.0,0.036036036036036036,0.1171,0.8919,0.9815,0.6544,0,0.0,0.0,1.0,32.395,-86.25
